Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:03:12,2022-03-24 16:03:13,1.017s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1796-S7 (User is able to click Delete text button),Chrome 99.0.4844.82,User is able to click Delete text button,,2022-03-24 16:03:13,2022-03-24 16:03:16,3.185s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/button_Delete""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:13,2022-03-24 16:03:14,0.439s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 16:03:14,2022-03-24 16:03:16,2.007s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/Delete/button_No(Delete)""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:16,2022-03-24 16:03:16,0.406s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1797-S7 (User is able to click cancel button),Chrome 99.0.4844.82,User is able to click cancel button,,2022-03-24 16:03:16,2022-03-24 16:03:18,2.003s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/button_Cancel""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:16,2022-03-24 16:03:17,0.550s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:03:17,2022-03-24 16:03:18,1.004s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1798-S7 (User should be able to select No option on Cancel process),Chrome 99.0.4844.82,User should be able to select No option on Cancel process,,2022-03-24 16:03:18,2022-03-24 16:03:20,2.307s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/Cancel/button_No(Cancel)""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:18,2022-03-24 16:03:19,0.843s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:03:19,2022-03-24 16:03:20,1.007s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1799-S7 (User should be able to select Yes option on Cancel process),Chrome 99.0.4844.82,User should be able to select Yes option on Cancel process,,2022-03-24 16:03:20,2022-03-24 16:03:25,4.732s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/button_Cancel""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:21,2022-03-24 16:03:21,0.481s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 16:03:21,2022-03-24 16:03:23,2.008s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/Cancel/button_Yes(Cancel)""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:23,2022-03-24 16:03:24,0.583s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 16:03:24,2022-03-24 16:03:25,1.011s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 468/FCSCMS-1800-S7 (User is able to click Save button),Chrome 99.0.4844.82,User is able to click Save button,,2022-03-24 16:03:25,2022-03-24 16:03:31,6.487s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/Edit_TestProduct""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:25,2022-03-24 16:03:26,0.556s,PASSED
delay(3),Chrome 99.0.4844.82,,,2022-03-24 16:03:26,2022-03-24 16:03:29,3.009s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-468/button_Save""))",Chrome 99.0.4844.82,,,2022-03-24 16:03:29,2022-03-24 16:03:29,0.493s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 16:03:29,2022-03-24 16:03:31,2.003s,PASSED
,,,,,,,
