Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1772-S7 (User should be able to click Add product checkbox button),Chrome 99.0.4844.82,User should be able to click Add product checkbox button,,2022-03-24 15:43:15,2022-03-24 15:43:17,1.492s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:16,2022-03-24 15:43:17,1.020s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1773-S7 (User should be able to fill Product Description field),Chrome 99.0.4844.82,User should be able to fill Product Description field,,2022-03-24 15:43:17,2022-03-24 15:43:18,1.363s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:17,2022-03-24 15:43:18,1.007s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1774-S7 (User should be able to fill Product Code field),Chrome 99.0.4844.82,User should be able to fill Product Code field,,2022-03-24 15:43:18,2022-03-24 15:43:20,2.285s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_Product Code""), ""555444"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:19,2022-03-24 15:43:19,0.838s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:19,2022-03-24 15:43:20,1.013s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1775-S7 (User should be able to fill Class field),Chrome 99.0.4844.82,User should be able to fill Class field,,2022-03-24 15:43:20,2022-03-24 15:43:24,3.231s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_Class""), ""Automation Test Class"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:21,2022-03-24 15:43:22,0.857s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 15:43:22,2022-03-24 15:43:24,2.005s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1776-S7 (User should be able to fill NMFC field),Chrome 99.0.4844.82,User should be able to fill NMFC field,,2022-03-24 15:43:24,2022-03-24 15:43:27,3.249s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_NMFC""), ""Automation Test for NMFC"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:24,2022-03-24 15:43:25,0.857s,PASSED
delay(2),Chrome 99.0.4844.82,,,2022-03-24 15:43:25,2022-03-24 15:43:27,2.007s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1777-S7 (User should be able to select Hazmat Radio button),Chrome 99.0.4844.82,User should be able to select Hazmat Radio button,,2022-03-24 15:43:27,2022-03-24 15:43:29,1.826s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-467/Hazmat_Yes""))",Chrome 99.0.4844.82,,,2022-03-24 15:43:27,2022-03-24 15:43:28,0.437s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:28,2022-03-24 15:43:29,1.012s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 467/FCSCMS-1778-S7 (User should be able to fill UN-AN Number field),Chrome 99.0.4844.82,User should be able to fill UN/AN Number field,,2022-03-24 15:43:29,2022-03-24 15:43:31,2.160s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-467/input_UN""), ""1267"")",Chrome 99.0.4844.82,,,2022-03-24 15:43:29,2022-03-24 15:43:30,0.780s,PASSED
delay(1),Chrome 99.0.4844.82,,,2022-03-24 15:43:30,2022-03-24 15:43:31,1.014s,PASSED
,,,,,,,
