Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:30,2021-12-23 05:38:32,2.013s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1153-S5 (The user can click the Save button for the Sites tab),Chrome 96.0.4664.110,The user can click the Save button for the 'Sites' tab,,2021-12-23 05:38:32,2021-12-23 05:38:35,2.643s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Save(Sites)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:32,2021-12-23 05:38:33,0.449s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:33,2021-12-23 05:38:34,1.017s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Yes(Confirmation)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:34,2021-12-23 05:38:34,0.407s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_No(Confirmation)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:34,2021-12-23 05:38:35,0.411s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1154-S5 (Click the Yes to confirm saving of all of the Newly added or edited site information),Chrome 96.0.4664.110,The user can click the 'Yes' to confirm saving of all of the Newly added or edited site information on the 'Site' tab,,2021-12-23 05:38:35,2021-12-23 05:38:47,12.094s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Yes(Confirmation)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:35,2021-12-23 05:38:36,0.445s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:36,2021-12-23 05:38:38,2.005s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/EditSiteButton""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:38,2021-12-23 05:38:38,0.465s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:38,2021-12-23 05:38:40,2.016s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/Delete(ForEmail)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:40,2021-12-23 05:38:40,0.435s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:40,2021-12-23 05:38:41,1.011s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Yes(Confirmation)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:41,2021-12-23 05:38:42,0.407s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:42,2021-12-23 05:38:43,1.019s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Save(Sites)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:43,2021-12-23 05:38:43,0.399s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:43,2021-12-23 05:38:44,1.005s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Yes(Confirmation)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:44,2021-12-23 05:38:45,0.384s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:45,2021-12-23 05:38:47,2.012s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1155-S5 (Click the No button to terminate the saving of the Newly added or edited Sites information),Chrome 96.0.4664.110,The user can click the 'No' button to terminate the saving of the Newly added or edited Sites information,,2021-12-23 05:38:47,2021-12-23 05:38:55,7.888s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/EditSiteButton""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:47,2021-12-23 05:38:48,0.430s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:48,2021-12-23 05:38:49,1.016s,PASSED
"clearText(findTestObject(""Admin/Sprint 5/Clients/Sites/SiteCode""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:49,2021-12-23 05:38:50,1.410s,PASSED
"setText(findTestObject(""Admin/Sprint 5/Clients/Sites/SiteCode""), ""Negative Path"")",Chrome 96.0.4664.110,,,2021-12-23 05:38:50,2021-12-23 05:38:51,0.764s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:51,2021-12-23 05:38:52,1.006s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Save(Sites)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:52,2021-12-23 05:38:52,0.402s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:52,2021-12-23 05:38:53,1.006s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_No(Confirmation)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:53,2021-12-23 05:38:54,0.457s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:54,2021-12-23 05:38:55,1.008s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1156-S5 (The user can click the Cancel button for the Site tab),Chrome 96.0.4664.110,The user can click the 'Cancel' button for the 'Site' tab,,2021-12-23 05:38:55,2021-12-23 05:38:59,4.282s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/EditSiteButton""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:55,2021-12-23 05:38:55,0.418s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:38:55,2021-12-23 05:38:57,2.004s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Cancel(Sites)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:57,2021-12-23 05:38:58,0.399s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:38:58,2021-12-23 05:38:59,1.015s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1157-S5 (The user can click the Yes button from Cancel Confirmation modal),Chrome 96.0.4664.110,The user can click the 'Yes' button from Cancel Confirmation modal,,2021-12-23 05:38:59,2021-12-23 05:39:03,4.366s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Yes(Cancel)""))",Chrome 96.0.4664.110,,,2021-12-23 05:38:59,2021-12-23 05:39:00,0.893s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-23 05:39:00,2021-12-23 05:39:03,3.007s,PASSED
,,,,,,,
Test Cases/Sprint 5/FCSCMS-193/FCSCMS-1158-S5 (Click the No button from Cancel Confirmation modal),Chrome 96.0.4664.110,The user can click the 'No' button from Cancel Confirmation modal,,2021-12-23 05:39:03,2021-12-23 05:39:08,4.747s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/EditSiteButton""))",Chrome 96.0.4664.110,,,2021-12-23 05:39:04,2021-12-23 05:39:04,0.485s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-23 05:39:04,2021-12-23 05:39:06,2.009s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_Cancel(Sites)""))",Chrome 96.0.4664.110,,,2021-12-23 05:39:06,2021-12-23 05:39:07,0.432s,PASSED
delay(1),Chrome 96.0.4664.110,,,2021-12-23 05:39:07,2021-12-23 05:39:08,1.004s,PASSED
"click(findTestObject(""Admin/Sprint 5/Clients/Sites/Site Edit Elements/button_No(Cancel)""))",Chrome 96.0.4664.110,,,2021-12-23 05:39:08,2021-12-23 05:39:08,0.406s,PASSED
